Farm	Sex	Length	Ecervi
AL	2	164	0
AL	1	216	0
AL	1	208	0
AL	1	206	14.37
AL	1	204	0
AL	1	200	0
AL	1	199	0.9
AL	1	197	0.8
AL	1	196	1.21
AL	1	196	0
AL	1	192	2.38
AL	1	191	0
AL	1	190	0
AL	1	180	0
AL	1	178	53.6
AU	1	195	36.0654
AU	1	190	3.9888
AU	1	188	24.93
AU	1	185	286.695
AU	1	185	0.6648
AU	1	184	104.1
AU	1	184	22
AU	1	184	5.4846
AU	1	180	49.86
AU	1	180	0
AU	1	178	143.14
AU	1	176	24.15
AU	1	175	50.9
AU	1	175	20
AU	1	174	77.6154
AU	1	174	9.7
AU	1	173	27.7554
AU	1	173	2.5
AU	1	172	5.4846
AU	1	170	27.62
AU	1	170	24.93
AU	1	170	0
AU	1	169	177.3354
AU	1	169	131.4
AU	1	169	3.6564
AU	1	167	5.4846
AU	1	161	237.8
AU	1	160	20.7
AU	1	158	3.6564
AU	1	155	0
AU	1	153	24.55
AU	1	153	0
BA	2	168.5	7.91
BA	2	168	11.634
BA	2	168	2.47
BA	2	165.2	0
BA	2	164.3	1.85
BA	2	164	4.21
BA	2	161	6
BA	2	161	2.8254
BA	2	159	15.58
BA	2	156	116.34
BA	2	156	0
BA	2	154	14.9
BA	2	153.5	19
BA	2	150	0
BA	2	148	38.226
BA	2	148	0
BA	2	145	28.5864
BA	2	145	0
BA	2	143	7.9776
BA	2	140	1.21
BA	2	139	66.48
BA	2	138	1.99
BA	2	138	0.3324
BA	2	137	477.36
BA	2	137	0
BA	2	129	58
BA	2	125	0
BA	2	122	0
BA	1	202	84.9
BA	1	187	252.8
BA	1	187	205.8
BA	1	187	51.9
BA	1	186	89.5
BA	1	185	199.6
BA	1	183	6.2
BA	1	182	285.3
BA	1	181	112.24
BA	1	180	147.8
BA	1	178	168.7
BA	1	178	114.4
BA	1	177	140
BA	1	176	266.9
BA	1	175	475.7
BA	1	173	126.1
BA	1	170	1357.8
BA	1	170	5.4846
BA	1	169	29.2
BA	1	159	40.1
BA	1	159	15.9
BA	1	132	0
BE	2	122	14.08
BE	1	180	41.51
BE	1	175	519.6
BE	1	170.5	1.15
BE	1	166.6	39.75
BE	1	165	17.99
BE	1	162	7.41
BE	1	160	56.9
BE	1	158	23.7
BE	1	158	23.54
BE	1	156	19.62
BE	1	154	117.14
BE	1	145	30.1
CB	2	174.8	109.86
CB	2	174	47.98
CB	2	171	82.56
CB	2	169	12.07
CB	2	168	145
CB	2	168	34.73
CB	2	167	88.3
CB	2	165	65.57
CB	2	164	70.009
CB	2	164	56.85
CB	2	164	20.85
CB	2	163	26.06
CB	2	162	427.3
CB	2	162	68.26
CB	2	162	3.33
CB	2	162	2.4
CB	2	162	0
CB	2	161	9.49
CB	2	160	67.59
CB	2	160	34.78
CB	2	160	0
CB	2	159	1.9
CB	2	157	1.9
CB	2	156.5	35.77
CB	2	155.2	288.05
CB	2	155	0
CB	2	154.5	133.87
CB	2	154	47.01
CB	2	153.5	47.84
CB	2	153.5	21.9
CB	2	153	335.35
CB	2	153	40.7
CB	2	153	3.25
CB	2	152.8	15.04
CB	2	149	18.51
CB	2	147	221.68
CB	2	146	126.61
CB	2	143	354.4
CB	2	143	88.96
CB	2	142	0
CB	2	139.1	402.14
CB	2	139	0
CB	2	139	0
CB	2	138.2	4.7
CB	2	136	0
CB	2	135.5	0
CB	2	133.5	0
CB	2	132	0
CB	2	131.5	0
