Year	ArrivalAP	LayingAP	ArrivalCP	LayingCP	ArrivalEP	LayingEP	MSA	SOI
1951	214	NA	NA	NA	NA	NA	0.086	15.38
1952	NA	NA	NA	NA	-10	46	0.127	-0.69
1953	212	245	209	260	NA	NA	0.101	-2.28
1954	NA	NA	NA	NA	NA	NA	0.109	-6.8
1955	NA	NA	NA	NA	NA	NA	0.087	4.08
1956	NA	NA	NA	NA	-9	42	0.086	10.58
1957	215	248	214	259	NA	NA	0.072	10.73
1958	NA	NA	NA	NA	-13	44	0.082	-3.89
1959	209	242	NA	NA	-3	38	0.078	-3.2
1960	NA	NA	NA	NA	NA	NA	0.078	-0.04
1961	NA	NA	NA	NA	NA	NA	0.065	3.83
1962	207	244	210	NA	-12	NA	0.086	0.8
1963	211	243	193	261	-7	41	0.137	5.4
1964	209	242	213	NA	-15	43	0.098	-1.95
1965	202	244	207	262	NA	NA	0.111	6.28
1966	NA	NA	NA	NA	-7	41	0.098	-8.43
1967	NA	NA	NA	NA	-9	38	0.056	-4.24
1968	210	243	212	260	-17	44	0.065	3.2
1969	214	244	209	NA	NA	NA	0.082	3.02
1970	NA	NA	NA	NA	-1	46	0.067	-5.38
1971	211	NA	207	NA	-6	45	0.051	3.93
1972	209	245	201	261	0	44	0.064	10.95
1973	211	245	215	268	0	50	0.071	-7.35
1974	214	243	NA	NA	-7	44	0.063	7.28
1975	210	246	195	259	-7	44	0.106	9.9
1976	208	242	198	262	-15	44	0.087	13.6
1977	210	246	210	266	-1	43	0.078	1.11
1978	216	248	213	265	-5	43	0.064	-9.9
1979	216	247	213	265	-9	43	0.080	-1.65
1980	211	246	206	NA	-11	51	0.037	-1.91
1981	212	247	213	NA	-5	45	0.054	-3.08
1982	210	250	212	NA	-20	46	0.060	1.8
1983	208	249	216	264	NA	NA	0.090	-13.05
1984	NA	NA	NA	NA	-10	39	0.088	-8.33
1985	209	243	208	260	-4	42	0.082	-0.11
1986	204	244	199	263	-10	45	0.061	0.86
1987	211	248	210	261	-4	44	0.096	-2.38
1988	210	244	213	263	-4	46	0.048	-13.08
1989	208	245	220	NA	-1	47	0.051	7.82
1990	208	248	219	265	-2	47	0.034	6.77
1991	215	249	215	NA	-3	47	0.054	-2.19
1992	211	247	211	264	-6	44	0.041	-8.78
1993	212	247	209	269	-7	41	0.056	-10.38
1994	211	246	215	262	-7	41	0.076	-9.47
1995	212	247	215	263	-17	47	0.065	-11.93
1996	215	245	215	263	-13	46	0.054	-2.27
1997	216	247	214	NA	-6	42	NA	5.69
1998	211	246	217	262	-1	NA	NA	-11.67
1999	215	246	220	263	-4	47	NA	-1.08
2000	210	248	208	261	-3	43	NA	7.95
2001	214	246	NA	263	-14	47	NA	7.8
2002	213	244	215	NA	-16	44	NA	0.53
2003	207	248	NA	264	-9	43	NA	-6.1
2004	208	245	216	265	-11	45	NA	-3.14
2005	219	249	210	266	NA	NA	NA	-4.82
