Year	Season	farm_code_numeric	Survey	Signs_in_yard	No_setts_in_fields	No_active_setts_in_fields	No_buildings	No_cattle_in_buidlings_yard	Accessible_feed_store_present	Accessible_cattle_house_present	Accessible_feed_present	Grass_silage	Cereal_silage	HayStraw	Cereal_grains	Concentrates	Proteinblocks	Sugarbeet	Vegetables	Molasses
2003	3	1	1	0	5	5	22	77	1	1	1	0	0	1	1	1	0	0	0	1
2003	4	1	2	0	5	2	23	295	1	1	1	0	0	1	1	1	0	0	0	1
2004	1	1	3	0	4	3	23	296	1	1	1	0	0	0	1	1	0	0	0	1
2004	2	1	4	0	4	3	22	188	1	1	1	0	0	1	0	0	0	0	0	0
2004	3	1	5	0	4	0	22	92	1	1	1	0	0	0	1	1	0	0	0	0
2004	4	1	6	0	4	1	25	180	1	1	1	0	0	1	1	1	1	0	0	1
2005	1	1	7	0	4	3	26	350	1	1	1	0	0	0	1	1	0	0	0	0
2005	2	1	8	0	4	1	24	195	1	1	1	0	0	1	1	1	1	0	0	1
2003	3	2	1	0	2	2	33	49	1	1	1	0	0	1	1	1	0	0	0	0
2003	4	2	2	0	2	2	33	228	1	1	1	1	0	1	1	0	0	0	1	0
2004	1	2	3	0	2	2	32	233	1	1	1	1	0	0	1	1	0	0	1	0
2004	2	2	4	0	2	2	31	188	1	1	1	0	0	0	1	1	0	0	0	1
2004	3	2	5	0	2	2	30	73	0	1	0	0	0	0	0	1	0	0	0	1
2004	4	2	6	0	2	2	32	226	1	1	1	0	0	1	1	1	0	0	0	1
2005	1	2	7	0	2	2	28	224	1	1	1	0	0	0	1	1	0	1	0	1
2005	2	2	8	0	2	1	24	119	1	1	1	1	0	1	1	1	0	1	1	1
2003	3	3	1	1	13	6	18	51	1	0	1	1	1	0	0	1	0	0	0	1
2003	4	3	2	1	10	4	36	404	1	1	1	1	1	0	0	1	0	0	0	1
2004	1	3	3	1	10	3	21	105	0	1	1	1	1	0	0	1	0	0	0	1
2004	2	3	4	1	5	3	21	24	0	0	1	1	1	0	0	1	0	0	0	1
2004	3	3	5	1	6	3	21	33	0	0	1	1	0	0	0	1	0	0	0	1
2004	4	3	6	1	9	7	22	234	1	1	1	1	1	1	0	1	0	0	0	1
2005	1	3	7	1	8	5	44	209	1	1	1	1	1	0	1	1	0	0	0	1
2005	2	3	8	1	6	5	0	97	0	0	0	0	0	0	0	0	0	0	0	0
2003	3	4	1	1	9	8	14	0	1	1	0	0	0	0	0	0	0	0	0	0
2003	4	4	2	0	9	9	14	74	1	1	1	0	0	1	0	0	0	0	0	0
2004	1	4	3	0	8	7	14	83	1	0	1	0	0	1	0	0	0	0	0	0
2004	2	4	4	0	9	7	14	42	1	0	1	0	0	1	0	0	0	0	0	0
2004	3	4	5	0	8	7	14	2	1	1	1	0	0	1	0	1	0	0	0	1
2004	4	4	6	0	8	5	14	4	1	0	1	0	0	1	0	0	0	0	0	0
2003	3	5	1	0	5	3	11	118	1	1	1	1	0	1	0	0	0	0	0	0
2003	4	5	2	0	3	2	10	45	1	1	1	0	0	1	0	0	0	0	0	0
2004	1	5	3	0	2	1	8	47	0	0	0	0	0	0	0	0	0	0	0	0
2004	2	5	4	0	4	3	16	29	0	0	0	0	0	0	0	0	0	0	0	0
2004	3	5	5	0	3	3	16	31	1	1	1	1	0	0	0	1	0	0	0	1
2004	4	5	6	0	3	2	16	145	1	0	1	0	1	1	0	0	0	0	0	0
2005	1	5	7	0	3	3	16	51	1	1	1	0	0	1	0	0	0	0	0	0
2005	2	5	8	0	3	1	16	33	1	1	1	0	1	1	0	1	0	0	0	1
2003	3	6	1	1	4	3	10	0	1	0	1	1	1	0	0	0	0	0	0	0
2003	4	6	2	1	5	5	9	156	1	1	1	0	0	1	1	0	0	0	0	0
2004	1	6	3	0	5	2	10	195	0	0	1	1	1	1	1	0	0	0	0	0
2004	2	6	4	0	3	2	10	54	1	0	1	1	1	0	0	0	0	0	0	0
2004	3	6	5	0	4	3	10	7	1	0	1	0	0	0	0	0	0	0	1	0
2004	4	6	6	0	4	2	10	30	1	0	1	0	1	1	1	0	0	0	0	0
2005	1	6	7	0	1	1	10	174	1	0	1	0	0	1	0	0	0	0	0	0
2005	2	6	8	0	3	1	10	40	1	0	1	0	0	1	1	0	0	0	0	0
2003	3	7	1	0	1	1	11	2	1	1	1	0	0	1	0	1	0	0	0	0
2003	4	7	2	0	2	2	10	9	1	1	1	0	0	1	1	1	0	0	0	0
2004	1	7	3	0	3	3	12	47	1	1	1	0	0	1	1	1	1	0	0	1
2004	2	7	4	0	2	2	12	15	0	1	0	0	0	0	0	1	0	0	0	0
2004	3	7	5	0	4	2	12	0	1	0	1	0	0	0	0	1	0	0	0	0
2004	4	7	6	0	5	3	12	17	1	1	0	0	0	0	0	1	0	0	0	0
2005	1	7	7	0	3	1	12	16	1	1	0	0	0	0	0	1	0	0	0	0
2003	3	8	1	0	6	6	17	14	1	1	1	1	1	0	1	1	0	0	0	1
2003	4	8	2	0	10	6	16	97	1	1	1	0	0	1	0	1	0	0	0	1
2004	2	8	4	0	15	10	16	14	1	1	0	0	0	0	0	1	0	0	0	1
2004	3	8	5	0	16	10	16	9	0	1	0	0	0	0	0	1	0	0	0	1
2004	4	8	6	0	17	10	17	87	1	1	1	1	0	1	1	1	0	0	0	1
2005	1	8	7	0	18	10	17	116	1	1	1	1	1	1	0	0	0	0	0	0
2005	2	8	8	0	19	10	17	37	1	1	0	0	0	0	0	0	0	0	0	0
2003	3	9	1	0	1	1	30	201	1	1	1	0	1	1	1	1	0	0	0	1
2003	4	9	2	0	0	0	30	214	1	1	1	1	1	1	0	1	0	0	0	1
2004	2	9	4	0	0	0	30	23	1	1	1	1	1	1	0	1	0	0	0	1
2004	3	9	5	0	0	0	31	53	1	1	1	1	1	1	0	1	0	0	0	1
2004	4	9	6	0	0	0	31	188	1	0	1	1	1	1	1	1	0	0	0	1
2005	1	9	7	0	0	0	31	201	1	1	1	1	1	1	1	1	0	1	0	1
2003	3	10	1	0	12	9	9	14	1	0	1	1	1	0	0	1	0	0	0	1
2003	4	10	2	1	14	8	35	380	1	1	1	1	1	0	1	1	0	0	0	1
2004	1	10	3	0	16	7	16	209	1	0	1	1	1	0	1	1	0	0	0	1
2004	2	10	4	0	12	6	21	57	1	0	1	1	1	0	1	1	0	0	0	1
