Rawdata	Spobee	Hive	X	Y	Infection	BeesN
2	6.66667	1	0	0	0	95000
4	13.33333	1	0	0	0	95000
2	6.66667	1	0	0	0	95000
2	6.66667	2	0	91	0	95000
6	20	2	0	91	0	95000
0	0	2	0	91	0	95000
6	20	3	0	262	0	85000
2	6.66667	3	0	262	0	85000
5	16.66667	3	0	262	0	85000
10	33.33333	4	0	353	0	90000
10	33.33333	4	0	353	0	90000
30	100	4	0	353	0	90000
2	6.66667	5	0	464	0	90000
0	0	5	0	464	0	90000
0	0	5	0	464	0	90000
4720	15733.33333	6	0	535	0	85000
3296	10973.33333	6	0	535	0	85000
1040	3466.66667	6	0	535	0	85000
0	0	7	0	706	0	45000
5	16.66667	7	0	706	0	45000
2	6.66667	7	0	706	0	45000
120	400	8	0	1197	0	45000
730	2433.33333	8	0	1197	0	45000
420	1400	8	0	1197	0	45000
290	966.66667	9	302	132	0	90000
390	1300	9	302	132	0	90000
460	1533.33333	9	302	132	0	90000
2	6.66667	10	302	233	0	45000
3	10	10	302	233	0	45000
7	23.33333	10	302	233	0	45000
100	333.33333	11	302	304	0	45000
20	66.66667	11	302	304	0	45000
108	360	11	302	304	0	45000
65328	217760	12	302	545	3	25000
59200	197333.3333	12	302	545	3	25000
40960	136533.3333	12	302	545	3	25000
57440	191466.6667	13	302	621	3	60000
27280	90933.33333	13	302	621	3	60000
46720	155733.3333	13	302	621	3	60000
18800	62666.66667	14	302	812	2	50000
51040	170133.3333	14	302	812	2	50000
19224	64080	14	302	812	2	50000
40	133.33333	15	554	70.5	0	70000
10	33.33333	15	554	70.5	0	70000
4	13.33333	15	554	70.5	0	70000
1	3.33333	16	554	181.5	0	70000
1	3.33333	16	554	181.5	0	70000
2	6.66667	16	554	181.5	0	70000
64	213.33333	17	554	262.5	0	70000
100	333.33333	17	554	262.5	0	70000
114	380	17	554	262.5	0	70000
3	10	18	554	353.5	0	70000
12	40	18	554	353.5	0	70000
2	6.66667	18	554	353.5	0	70000
920	3066.66667	19	554	434.5	0	45000
780	2600	19	554	434.5	0	45000
942.67	3142.23333	19	554	434.5	0	45000
10	33.33333	20	554	575.5	0	70000
38	126.66667	20	554	575.5	0	70000
14	46.66667	20	554	575.5	0	70000
828	2760	21	554	676.5	1	95000
480	1600	21	554	676.5	1	95000
510	1700	21	554	676.5	1	95000
8	26.66667	22	554	767.5	0	70000
10	33.33333	22	554	767.5	0	70000
18	60	22	554	767.5	0	70000
5	16.66667	23	1106	41	0	75000
1	3.33333	23	1106	41	0	75000
4	13.33333	23	1106	41	0	75000
90	300	24	1106	132	0	70000
20	66.66667	24	1106	132	0	70000
106	353.33333	24	1106	132	0	70000
