MU	Mesocosm	Abundance	Biomass	Treatment	Nutrient	Concentration
1	1	0	0	NoAlgae	NO3	2.49
1	1	0	0	NoAlgae	NO3	1.185
1	1	0	0	NoAlgae	NO3	3.825
2	2	4	0.5	NoAlgae	NO3	3.045
2	2	4	0.5	NoAlgae	NO3	2.19
2	2	4	0.5	NoAlgae	NO3	3.6
3	3	8	1	NoAlgae	NO3	2.835
3	3	8	1	NoAlgae	NO3	2.475
3	3	8	1	NoAlgae	NO3	1.995
4	4	8	1	NoAlgae	NO3	2.985
4	4	8	1	NoAlgae	NO3	1.425
4	4	8	1	NoAlgae	NO3	2.97
5	5	12	1.5	NoAlgae	NO3	1.56
5	5	12	1.5	NoAlgae	NO3	1.305
5	5	12	1.5	NoAlgae	NO3	2.4
6	6	16	2	NoAlgae	NO3	1.95
6	6	16	2	NoAlgae	NO3	1.815
6	6	16	2	NoAlgae	NO3	1.05
7	7	0	0	Algae	NO3	0.015
7	7	0	0	Algae	NO3	0
7	7	0	0	Algae	NO3	0
8	8	4	0.5	Algae	NO3	0
8	8	4	0.5	Algae	NO3	0.03
8	8	4	0.5	Algae	NO3	0.03
9	9	8	1	Algae	NO3	0.045
9	9	8	1	Algae	NO3	1.755
9	9	8	1	Algae	NO3	0
10	10	8	1	Algae	NO3	0
10	10	8	1	Algae	NO3	0
10	10	8	1	Algae	NO3	0.015
11	11	12	1.5	Algae	NO3	0
11	11	12	1.5	Algae	NO3	0.075
11	11	12	1.5	Algae	NO3	0
12	12	16	2	Algae	NO3	0
12	12	16	2	Algae	NO3	0.015
12	12	16	2	Algae	NO3	0.03
13	1	0	0	NoAlgae	NH4	0.05
13	1	0	0	NoAlgae	NH4	0.105
13	1	0	0	NoAlgae	NH4	0.105
14	2	4	0.5	NoAlgae	NH4	0.79
14	2	4	0.5	NoAlgae	NH4	0.21
14	2	4	0.5	NoAlgae	NH4	2.1
15	3	8	1	NoAlgae	NH4	1.159
15	3	8	1	NoAlgae	NH4	1.001
15	3	8	1	NoAlgae	NH4	2.52
16	4	8	1	NoAlgae	NH4	3.16
16	4	8	1	NoAlgae	NH4	0.42
16	4	8	1	NoAlgae	NH4	0.5227
17	5	12	1.5	NoAlgae	NH4	1.159
17	5	12	1.5	NoAlgae	NH4	0.42
17	5	12	1.5	NoAlgae	NH4	0.52
18	6	16	2	NoAlgae	NH4	1.106
18	6	16	2	NoAlgae	NH4	0.42
18	6	16	2	NoAlgae	NH4	3.74
19	7	0	0	Algae	NH4	13.8
19	7	0	0	Algae	NH4	24.08
19	7	0	0	Algae	NH4	10.06
20	8	4	0.5	Algae	NH4	11.01
20	8	4	0.5	Algae	NH4	7.53
20	8	4	0.5	Algae	NH4	17.54
21	9	8	1	Algae	NH4	18.49
21	9	8	1	Algae	NH4	0.527
21	9	8	1	Algae	NH4	25.29
22	10	8	1	Algae	NH4	15.96
22	10	8	1	Algae	NH4	9.538
22	10	8	1	Algae	NH4	15.81
23	11	12	1.5	Algae	NH4	23.5
23	11	12	1.5	Algae	NH4	15.17
23	11	12	1.5	Algae	NH4	27.5
24	12	16	2	Algae	NH4	20.65
24	12	16	2	Algae	NH4	11.07
24	12	16	2	Algae	NH4	16.54
25	1	0	0	NoAlgae	PO3	0.122
25	1	0	0	NoAlgae	PO3	0.094
25	1	0	0	NoAlgae	PO3	0.1692
26	2	4	0.5	NoAlgae	PO3	0.5452
26	2	4	0.5	NoAlgae	PO3	0.3384
26	2	4	0.5	NoAlgae	PO3	1.2972
27	3	8	1	NoAlgae	PO3	0.9306
27	3	8	1	NoAlgae	PO3	0.8554
27	3	8	1	NoAlgae	PO3	0.9494
28	4	8	1	NoAlgae	PO3	1.3254
28	4	8	1	NoAlgae	PO3	0.4324
28	4	8	1	NoAlgae	PO3	0.6804
29	5	12	1.5	NoAlgae	PO3	0.6862
29	5	12	1.5	NoAlgae	PO3	0.4606
29	5	12	1.5	NoAlgae	PO3	0.8178
30	6	16	2	NoAlgae	PO3	0.675
30	6	16	2	NoAlgae	PO3	0.4042
30	6	16	2	NoAlgae	PO3	1.3724
31	7	0	0	Algae	PO3	3.0456
31	7	0	0	Algae	PO3	1.5886
31	7	0	0	Algae	PO3	1.7014
32	8	4	0.5	Algae	PO3	2.8512
32	8	4	0.5	Algae	PO3	1.1844
32	8	4	0.5	Algae	PO3	2.8782
33	9	8	1	Algae	PO3	3.6774
33	9	8	1	Algae	PO3	0.7802
33	9	8	1	Algae	PO3	4.2112
34	10	8	1	Algae	PO3	1.6092
34	10	8	1	Algae	PO3	2.9798
34	10	8	1	Algae	PO3	1.9646
35	11	12	1.5	Algae	PO3	2.2248
35	11	12	1.5	Algae	PO3	2.0774
35	11	12	1.5	Algae	PO3	3.4968
36	12	16	2	Algae	PO3	2.9516
36	12	16	2	Algae	PO3	1.9458
36	12	16	2	Algae	PO3	2.3922
