Tb	SEX	AgeClass	LengthCT
0	1	1	46.5
0	2	1	47
0	1	1	48
0	1	1	51.5
0	2	1	53
0	2	1	53
0	2	1	53.5
0	2	1	61.8
0	2	1	62.5
0	1	1	67.8
1	2	1	68
1	2	1	68.1
0	1	2	68.5
0	2	1	70
0	1	2	72.5
0	2	2	78
1	1	2	79
0	2	2	79
0	2	2	80
1	1	2	81
0	2	2	81
0	2	2	81.4
1	1	2	81.5
0	1	2	81.8
1	NA	2	83
0	1	2	83
0	1	2	83
NA	2	2	83.4
1	1	2	84
0	1	2	84
0	2	3	84
0	2	2	84
0	2	2	84.4
1	2	2	84.5
0	1	2	84.5
1	1	2	85
0	1	2	85.5
1	2	2	86
1	2	2	86
0	2	2	86.4
NA	2	2	87
0	1	2	87
0	2	2	87
0	1	2	87.2
0	2	2	87.6
0	2	2	87.8
1	NA	2	88
0	2	2	88.2
1	2	2	89
0	1	2	89
0	2	2	90
0	2	2	90.5
0	1	2	91.5
NA	2	2	92
0	1	2	92
0	2	3	92
0	2	2	92
0	1	2	92
0	1	2	92
0	1	2	92
0	1	2	92.3
1	2	2	92.5
0	2	2	92.5
1	1	2	92.8
1	2	2	93
0	2	2	93
NA	2	2	95
NA	NA	2	95
0	1	2	95
0	2	2	95
0	2	2	95
NA	1	3	95.5
0	2	2	95.7
0	NA	2	96
0	2	2	96.4
1	1	2	96.5
0	2	2	96.5
0	2	2	96.5
0	NA	2	96.5
0	1	2	96.8
0	2	2	97.5
0	1	2	98
0	2	2	98
NA	1	2	99
1	2	2	99
0	2	2	99
0	1	2	99
0	1	2	99
0	2	3	99
0	2	3	99
0	2	2	99
1	1	2	99.2
0	1	2	99.5
1	1	2	99.8
1	2	3	100
1	2	2	100
0	1	2	100
0	2	2	100
0	1	2	100
0	1	2	100.3
0	2	2	100.9
NA	2	2	101
1	2	3	101
1	1	2	101
0	1	2	101
0	2	2	101
0	1	2	101
0	2	2	101
0	1	3	101.4
0	1	3	101.5
NA	2	3	102
NA	2	2	102
0	1	2	102
0	1	2	102
0	2	2	102
0	2	3	102
NA	2	4	103
0	2	3	103
0	2	2	103.2
1	1	3	104
1	1	2	104
0	1	3	104
0	2	3	104
0	1	2	104.5
NA	2	3	105
1	2	4	105
0	1	2	105
0	NA	3	105
1	2	3	105.3
0	1	2	105.4
NA	1	3	105.5
1	1	2	105.8
1	1	2	105.9
NA	1	3	106
NA	NA	3	106
1	2	2	106
0	2	3	106
0	2	2	106
0	2	3	106
0	2	2	106
1	NA	3	106.2
1	2	3	106.5
1	NA	3	106.5
1	1	2	106.5
1	2	3	107
1	NA	2	107
0	1	3	107
0	2	2	107
0	1	3	107
0	1	3	107
0	1	2	107
0	2	3	107
0	2	3	107
0	2	2	107
0	1	3	107.5
0	1	2	107.5
0	2	2	107.8
1	1	3	108
1	1	3	108
1	1	3	108
1	2	3	108
0	2	3	108
