DolphinID	Species	Age	Sex	Stain	Location
9	Delphinusdelphis	11.50	1	Mayer	Scotland
9	Delphinusdelphis	11.50	1	Elrich	Scotland
9	Delphinusdelphis	11.00	1	Toluidine	Scotland
25	Delphinusdelphis	1.50	1	Mayer	Scotland
25	Delphinusdelphis	1.50	1	Elrich	Scotland
25	Delphinusdelphis	1.50	1	Toluidine	Scotland
37	Delphinusdelphis	2	1	Mayer	Scotland
37	Delphinusdelphis	2	1	Elrich	Scotland
37	Delphinusdelphis	3	1	Toluidine	Scotland
47	Delphinusdelphis	12.00	2	Mayer	Spain
47	Delphinusdelphis	9.00	2	Elrich	Spain
47	Delphinusdelphis	10.00	2	Toluidine	Spain
51	Delphinusdelphis	15.00	2	Mayer	Spain
51	Delphinusdelphis	13.00	2	Elrich	Spain
51	Delphinusdelphis	15.00	2	Toluidine	Spain
55	Delphinusdelphis	0.75	2	Mayer	Spain
55	Delphinusdelphis	0.50	2	Elrich	Spain
55	Delphinusdelphis	0.50	2	Toluidine	Spain
57	Delphinusdelphis	15.00	2	Mayer	Spain
57	Delphinusdelphis	13.00	2	Elrich	Spain
57	Delphinusdelphis	15.00	2	Toluidine	Spain
30	Lagenorhynchusacutus	9.50	1	Mayer	Scotland
30	Lagenorhynchusacutus	7.50	1	Elrich	Scotland
30	Lagenorhynchusacutus	7.00	1	Toluidine	Scotland
31	Lagenorhynchusacutus	11.50	1	Mayer	Scotland
31	Lagenorhynchusacutus	12.00	1	Elrich	Scotland
31	Lagenorhynchusacutus	10.00	1	Toluidine	Scotland
36	Lagenorhynchusacutus	1.50	2	Mayer	Scotland
36	Lagenorhynchusacutus	1.50	2	Elrich	Scotland
36	Lagenorhynchusacutus	1.50	2	Toluidine	Scotland
5	Phocoenaphocoena	1.25	1	Mayer	Scotland
5	Phocoenaphocoena	1.25	1	Elrich	Scotland
5	Phocoenaphocoena	1.50	1	Toluidine	Scotland
6	Phocoenaphocoena	2.50	2	Mayer	Scotland
6	Phocoenaphocoena	2.50	2	Elrich	Scotland
6	Phocoenaphocoena	2.50	2	Toluidine	Scotland
7	Phocoenaphocoena	7.50	1	Mayer	Scotland
7	Phocoenaphocoena	7.00	1	Elrich	Scotland
7	Phocoenaphocoena	8.00	1	Toluidine	Scotland
8	Phocoenaphocoena	1.50	1	Mayer	Scotland
8	Phocoenaphocoena	1.50	1	Elrich	Scotland
8	Phocoenaphocoena	1.50	1	Toluidine	Scotland
10	Phocoenaphocoena	10.00	0	Mayer	Scotland
10	Phocoenaphocoena	8.50	0	Elrich	Scotland
10	Phocoenaphocoena	10.00	0	Toluidine	Scotland
11	Phocoenaphocoena	5.00	2	Mayer	Scotland
11	Phocoenaphocoena	7.50	2	Elrich	Scotland
11	Phocoenaphocoena	6.50	2	Toluidine	Scotland
12	Phocoenaphocoena	1.75	2	Mayer	Scotland
12	Phocoenaphocoena	1.75	2	Elrich	Scotland
12	Phocoenaphocoena	1.75	2	Toluidine	Scotland
13	Phocoenaphocoena	1.25	2	Mayer	Scotland
13	Phocoenaphocoena	1.25	2	Elrich	Scotland
13	Phocoenaphocoena	1.25	2	Toluidine	Scotland
14	Phocoenaphocoena	8.00	1	Mayer	Scotland
14	Phocoenaphocoena	7.00	1	Elrich	Scotland
14	Phocoenaphocoena	7.50	1	Toluidine	Scotland
15	Phocoenaphocoena	0.75	1	Mayer	Scotland
15	Phocoenaphocoena	0.75	1	Elrich	Scotland
15	Phocoenaphocoena	0.75	1	Toluidine	Scotland
17	Phocoenaphocoena	0.50	2	Mayer	Scotland
17	Phocoenaphocoena	0.50	2	Elrich	Scotland
17	Phocoenaphocoena	0.50	2	Toluidine	Scotland
18	Phocoenaphocoena	0.75	1	Mayer	Scotland
18	Phocoenaphocoena	0.75	1	Elrich	Scotland
18	Phocoenaphocoena	0.75	1	Toluidine	Scotland
19	Phocoenaphocoena	1.50	1	Mayer	Scotland
19	Phocoenaphocoena	1.25	1	Elrich	Scotland
