MONTH	LENGTH	AFD	LNLENGTH	LNAFD
11.000	28.380	0.248	3.346	-1.394
11.000	16.570	0.052	2.808	-2.955
11.000	13.690	0.028	2.617	-3.572
11.000	17.440	0.070	2.859	-2.655
11.000	11.830	0.022	2.471	-3.826
11.000	28.130	0.187	3.337	-1.679
11.000	32.580	0.361	3.484	-1.020
11.000	15.700	0.050	2.754	-3.006
11.000	18.730	0.087	2.930	-2.444
11.000	21.520	0.128	3.069	-2.060
11.000	20.170	0.105	3.004	-2.254
11.000	16.720	0.054	2.817	-2.928
11.000	15.990	0.065	2.772	-2.735
11.000	16.850	0.061	2.824	-2.800
11.000	21.540	0.118	3.070	-2.138
11.000	13.060	0.030	2.570	-3.493
11.000	13.750	0.038	2.621	-3.265
11.000	16.420	0.058	2.799	-2.846
11.000	11.080	0.022	2.405	-3.808
11.000	13.500	0.036	2.603	-3.319
11.000	12.670	0.016	2.539	-4.154
11.000	22.560	0.128	3.116	-2.059
12.000	24.100	0.167	3.182	-1.788
12.000	24.090	0.134	3.182	-2.012
12.000	24.010	0.105	3.178	-2.256
12.000	23.420	0.145	3.154	-1.928
12.000	23.240	0.148	3.146	-1.913
12.000	24.110	0.110	3.183	-2.205
12.000	23.090	0.145	3.139	-1.932
12.000	23.820	0.150	3.171	-1.898
12.000	23.310	0.100	3.149	-2.300
12.000	24.110	0.147	3.183	-1.915
12.000	21.090	0.081	3.049	-2.519
12.000	22.530	0.137	3.115	-1.986
12.000	22.690	0.136	3.122	-1.998
12.000	22.210	0.097	3.101	-2.338
12.000	20.650	0.098	3.028	-2.325
12.000	21.910	0.126	3.087	-2.073
12.000	20.450	0.098	3.018	-2.325
12.000	22.660	0.131	3.121	-2.033
12.000	21.350	0.088	3.061	-2.434
12.000	22.750	0.135	3.125	-2.005
12.000	21.820	0.140	3.083	-1.967
12.000	22.040	0.124	3.093	-2.088
12.000	21.130	0.110	3.051	-2.206
12.000	22.240	0.133	3.102	-2.015
12.000	21.950	0.128	3.089	-2.055
