Year	Stilt.Oahu	Stilt.Maui	Coot.Oahu	Coot.Maui	Moorhen.Kauai	Rainfall
1956	163	169	528	177	2	15.16
1957	272	190	338	273	NA	15.48
1958	549	159	449	256	2	16.26
1959	533	211	822	170	10	21.25
1960	NA	232	NA	188	4	10.94
1961	134	155	717	149	10	19.93
1962	175	282	12	205	12	12.63
1963	356	170	169	108	10	20.09
1964	485	164	98	79	8	10.02
1965	184	162	112	53	NA	30.91
1966	242	253	77	75	17	12.49
1967	209	188	106	80	7	32.70
1968	175	226	64	104	44	18.40
1969	162	171	15	122	50	25.21
1970	322	207	130	78	26	18.61
1971	362	189	84	76	10	20.13
1972	342	274	132	161	NA	15.71
1973	509	352	122	114	7	10.27
1974	107	245	41	63	1	18.68
1975	110	340	83	151	38	13.74
1976	249	335	148	177	92	12.83
1977	738	302	148	154	113	11.50
1978	396	159	126	41	81	19.15
1979	211	154	105	78	79	26.82
1980	384	238	261	83	72	27.87
1981	418	410	234	86	84	12.85
1982	357	210	396	31	67	34.04
1983	231	296	960	158	43	13.05
1984	621	339	1153	111	52	8.56
1985	322	435	791	189	67	20.00
1986	484	298	493	115	55	18.39
1987	821	243	737	57	42	24.31
1988	478	296	250	57	36	26.79
1989	740	215	542	92	32	40.63
1990	515	172	415	41	98	35.20
1991	371	197	261	61	116	16.09
1992	562	366	450	175	107	16.98
1993	393	284	339	90	129	12.69
1994	NA	212	NA	68	240	13.93
1995	598	191	303	57	294	13.45
1996	530	297	214	87	348	31.00
1997	558	262	317	113	210	23.08
1998	502	424	899	396	131	6.76
1999	442	364	1004	384	106	9.66
2000	499	526	634	422	138	9.72
2001	620	337	668	538	132	10.53
2002	692	297	589	234	73	15.07
2003	240	258	885	85	92	13.83
