site	subsite	easting	northing	presence	pprim_ssite	psec_ssite	phss_5km	phss_2.5km	phss_1km	pm_5km	pm_2.5km	pm_1km	pdens_5km	pdens_2.5km	pdens_1km	edens_5km	edens_2.5km	edens_1km	rdens_5km	rdens_2.5km	rdens_1km
1	1	510396	7081160	1	0.00	20.00	9.55	2.27	7.58	12.86	26.84	86.76	0.30	0.25	0.64	13.67	15.36	14.36	310.40	280.74	32.91
1	2	510356	7081052	1	0.00	15.00	9.88	2.56	8.90	12.90	27.15	85.39	0.30	0.25	1.59	13.75	15.78	12.41	321.27	307.73	48.91
1	3	510329	7080920	1	0.00	0.00	10.08	2.85	9.61	13.00	27.50	84.59	0.29	0.41	0.95	13.85	16.50	13.26	325.83	337.16	44.38
2	4	509556	7080313	1	0.00	5.00	13.80	6.45	9.04	14.12	30.60	56.94	0.32	0.61	1.91	15.51	25.98	36.42	475.80	538.97	839.48
2	5	509587	7080192	1	0.00	15.00	13.64	6.90	9.76	14.23	30.74	55.76	0.33	0.71	1.91	15.68	26.42	33.90	472.16	560.41	889.16
2	6	509648	7080109	1	0.00	15.00	13.33	7.10	10.64	14.28	30.73	54.60	0.33	0.61	1.27	15.72	26.55	31.34	457.39	557.35	913.41
3	7	508890	7074388	1	0.00	0.00	19.12	15.47	27.38	14.64	24.90	59.78	0.31	0.25	0.64	17.07	17.30	16.87	248.00	157.77	51.39
3	8	508958	7074415	1	0.00	0.00	18.56	15.51	27.94	14.57	24.90	61.41	0.32	0.15	0.64	16.94	17.10	16.36	243.44	155.68	58.88
3	9	509037	7074397	1	0.00	0.00	17.91	15.49	27.13	14.56	25.01	62.61	0.31	0.20	0.64	16.74	17.20	16.63	227.09	174.66	68.41
4	10	508494	7073626	0	0.00	0.00	20.73	14.47	23.80	15.28	27.25	49.04	0.32	0.20	0.32	17.17	18.10	16.41	241.39	149.42	89.79
4	11	508549	7073747	1	55.00	0.00	20.68	14.44	24.25	15.17	27.28	50.74	0.28	0.20	0.32	17.23	18.14	17.75	233.25	143.76	93.11
