Copepod	Nauplii	Volume	Station	Depth	Production_day	Production_week	Day	Month	Year	Substitute_vol
0	0	2.26287	A	0m	112	16	28	6	2002	FALSE
0	0	1.88238	A	5m	112	16	28	6	2002	FALSE
1	0	0.991256	C	0m	112	16	28	6	2002	FALSE
0	0	2.61331	C	5m	112	16	28	6	2002	FALSE
0	0	2.04259	E	0m	112	16	28	6	2002	FALSE
0	0	9.60216	E	5m	112	16	28	6	2002	FALSE
0	0	5.196583522	A	0m	129	19	15	7	2002	FALSE
0	0	6.027636378	A	5m	129	19	15	7	2002	FALSE
0	0	7.229158579	C	0m	129	19	15	7	2002	FALSE
0	0	5.176558152	C	5m	129	19	15	7	2002	FALSE
0	0	8.931315031	E	0m	129	19	15	7	2002	FALSE
0	0	5.186570837	E	5m	129	19	15	7	2002	FALSE
0	0	24.3308	A	0m	186	27	12	9	2002	FALSE
0	0	17.9127	A	5m	186	27	12	9	2002	FALSE
11	0	21.5173	C	0m	186	27	12	9	2002	FALSE
0	0	19.1242	C	5m	186	27	12	9	2002	FALSE
1	0	16.2205	E	0m	186	27	12	9	2002	FALSE
0	0	15.1192	E	5m	186	27	12	9	2002	FALSE
0	0	23.4397	F	0m	186	27	12	9	2002	FALSE
0	1	21.337	F	5m	186	27	12	9	2002	FALSE
5	0	21.327	G	0m	186	27	12	9	2002	FALSE
0	0	19.4246	G	5m	186	27	12	9	2002	FALSE
2	0	4.36553	A	0m	192	28	18	9	2002	FALSE
1	0	5.01636	A	5m	192	28	18	9	2002	FALSE
0	0	10.6134	C	0m	192	28	18	9	2002	FALSE
0	0	15.7199	C	5m	192	28	18	9	2002	FALSE
0	0	10.6935	E	0m	192	28	18	9	2002	FALSE
0	0	10.9038	E	5m	192	28	18	9	2002	FALSE
0	0	7.30926	F	0m	192	28	18	9	2002	FALSE
0	0	6.79861	F	5m	192	28	18	9	2002	FALSE
9	0	20.7263	G	0m	192	28	18	9	2002	FALSE
0	0	9.30178	G	5m	192	28	18	9	2002	FALSE
1	0	7.29925	A	0m	199	29	25	9	2002	FALSE
0	0	11.2743	A	5m	199	29	25	9	2002	FALSE
1	1	16.561	C	0m	199	29	25	9	2002	FALSE
0	0	15.6799	C	5m	199	29	25	9	2002	FALSE
0	0	12.4658	E	0m	199	29	25	9	2002	FALSE
0	0	11.825	E	5m	199	29	25	9	2002	FALSE
5	0	11.9051	F	0m	199	29	25	9	2002	FALSE
1	0	10.9038	F	5m	199	29	25	9	2002	FALSE
0	0	8.12029	G	0m	199	29	25	9	2002	FALSE
0	0	9.62219	G	5m	199	29	25	9	2002	FALSE
0	0	9.22168	A	0m	204	30	30	9	2002	FALSE
0	0	9.62219	A	5m	204	30	30	9	2002	FALSE
0	1	19.4246	C	0m	204	30	30	9	2002	FALSE
1	3	14.4283	C	5m	204	30	30	9	2002	FALSE
1	0	5.80736	E	0m	204	30	30	9	2002	FALSE
0	0	9.61218	E	5m	204	30	30	9	2002	FALSE
0	0	8.2104	F	0m	204	30	30	9	2002	FALSE
1	0	9.70229	F	5m	204	30	30	9	2002	FALSE
2	4	11.4145	G	0m	204	30	30	9	2002	FALSE
0	6	7.91002	G	5m	204	30	30	9	2002	FALSE
0	0	28.6163	A	0m	214	31	10	10	2002	FALSE
1	1	24.3308	A	5m	214	31	10	10	2002	FALSE
0	0	20.556	C	0m	214	31	10	10	2002	FALSE
0	1	22.8389	C	5m	214	31	10	10	2002	FALSE
1	1	25.0417	E	0m	214	31	10	10	2002	FALSE
1	0	21.8277	E	5m	214	31	10	10	2002	FALSE
0	0	23.0292	F	0m	214	31	10	10	2002	FALSE
0	1	22.118	F	5m	214	31	10	10	2002	FALSE
7	0	22.0279	G	0m	214	31	10	10	2002	FALSE
1	0	20.5661	G	5m	214	31	10	10	2002	FALSE
