RECORD	ID	Month	Time	AGE	Sex	Bplumage	Period	IntakeRate
1	1	1	-0.75	0	0	0	0	0.067019231
2	1	1	0.1	0	0	0	0	0.162187845
3	1	1	0.233333333	0	0	0	0	0.249370909
4	1	1	0.333333333	0	0	0	0	0.06942953
5	1	1	1.083333333	0	0	0	0	0.140303448
6	1	1	1.683333333	0	0	0	0	0.25521134
7	1	1	2.083333333	0	0	0	0	0.103253521
8	2	2	1.183333333	0	0	0	1	0.208316667
10	2	2	1.516666667	0	0	0	1	0.093874126
11	2	2	1.85	0	0	0	1	0.112571429
13	2	2	4.183333333	0	0	0	1	0.221648649
20	3	2	0.866666667	0	0	0	1	0.035162162
28	3	2	2.95	0	0	0	1	0.17685443
30	4	3	-0.85	0	0	0	1	0.085622074
33	4	3	-0.016666667	0	0	0	1	0.178217241
34	4	3	1.983333333	0	0	0	1	0.182582278
35	4	3	2.15	0	0	0	1	0.090438127
36	4	3	2.25	0	0	0	1	0.121565217
37	4	3	2.366666667	0	0	0	1	0.117845361
40	5	3	0.333333333	0	0	80	1	0.368906667
41	5	3	0.566666667	0	0	0	1	0.243036424
42	5	3	0.65	0	0	70	1	0.207545139
43	5	3	0.15	0	0	70	1	0.32189701
44	5	3	1.066666667	0	0	80	1	0.402143813
63	7	5	-0.25	1	2	10	2	0.020121107
67	7	5	2.816666667	1	1	35	2	0.179709343
68	7	5	2.983333333	2	0	0	2	0.032057613
69	7	5	3.066666667	1	1	0	2	0.128148352
70	7	5	3.2	2	0	40	2	0.114649215
71	7	5	3.583333333	1	2	0	2	0.386230496
72	7	5	3.683333333	1	2	35	2	0.317769634
73	7	5	3.766666667	1	2	0	2	0.341958159
74	7	5	3.833333333	2	0	0	2	0.099042636
75	7	5	4.15	1	2	0	2	0.211922807
76	8	6	0.05	1	2	0	2	0.108672474
79	8	6	1.5	1	1	0	2	0.081580328
80	8	6	1.616666667	1	2	0	2	0.238859375
83	8	6	2.283333333	1	2	0	2	0.074988806
84	8	6	2.416666667	1	1	0	2	0.177113712
87	8	6	2.8	1	2	0	2	0.069406699
88	8	6	3.233333333	1	2	0	2	0.063614286
89	9	6	0.083333333	1	1	0	2	0.019786096
90	9	6	0.15	2	0	0	2	0.330263441
91	9	6	0.25	1	2	0	2	0.335020492
92	9	6	0.483333333	1	1	0	2	0.124480916
93	9	6	0.9	2	0	0	2	0.163179348
94	9	6	1.483333333	1	2	0	2	0.157381818
95	9	6	2.983333333	1	2	0	2	0.203810811
96	9	6	3.15	1	2	0	2	0.091792157
97	9	6	3.233333333	1	2	0	2	0.177546468
98	9	6	3.316666667	1	2	0	2	0.236521073
99	9	6	3.5	1	2	0	2	0.177244019
100	9	6	3.616666667	1	1	0	2	0.117892086
101	9	6	3.75	2	0	0	2	0.169607004
102	10	7	0.5	1	2	0	2	0.069247232
103	10	7	0.616666667	1	2	0	2	0.101298507
104	10	7	0.75	1	2	0	2	0.160205405
105	10	7	1	1	2	40	2	0.053948339
106	10	7	1.166666667	1	2	40	2	0.119701754
107	10	7	1.916666667	1	2	0	2	0.170588652
108	10	7	2.083333333	1	2	0	2	0.230086643
109	10	7	2.25	2	0	0	2	0.052119565
110	10	7	2.416666667	1	2	40	2	0.075826087
