concentration	biomass	nutrient
0.05	0	1
0.105	0	1
0.105	0	1
0.79	0.5	1
0.21	0.5	1
2.1	0.5	1
1.159	1	1
1.001	1	1
0.5227	1	1
1.159	1.5	1
0.42	1.5	1
0.52	1.5	1
1.106	2	1
3.2	2	1
3.74	2	1
2.49	0	2
1.185	0	2
3.825	0	2
3.045	0.5	2
2.19	0.5	2
3.6	0.5	2
2.475	1	2
1.995	1	2
1.425	1	2
1.56	1.5	2
1.305	1.5	2
2.4	1.5	2
1.95	2	2
1.815	2	2
1.05	2	2
0.122	0	3
0.094	0	3
0.1692	0	3
0.5452	0.5	3
0.3384	0.5	3
1.2972	0.5	3
0.8554	1	3
0.4324	1	3
0.6804	1	3
0.6862	1.5	3
0.4606	1.5	3
0.8178	1.5	3
0.675	2	3
0.4042	2	3
1.3724	2	3
