Time	YEAR	SITE	FIELD	AREA	SPTREAT	DEPTH	TUSW	GWFG	WHGO	CAGO	MALL	GADW	GWTE	CITE	UNTE	AMWI	NOPI	NOSH	RIDU	CANV	BUFF	WODU	RUDU	EUWI	UNDU	PBGB	SORA	COOT	COMO	AMBI	BCNH	GBHE	SNEG	GREG	WFIB	SACR	AMAV	BNST	BBPL	KILL	LBCU	GRYE	LEYE	LBDO	SNIP	DUNL	WESA	LESA	PEEP	RUFF	UNSH	RBGU	HEGU	CAGU	GUSP	WATERFWL	LLWADERS	SHOREBDS	AQBIRDS
3	1	4mile	3	19.14	rlfld	16.2	0	0	0	0	0.104493208	0.052246604	14.05433647	0	0	0	5.642633229	8.254963427	0	0	0	0	0	0	0	0	0	5.485893417	0	0	0	0.052246604	0	0	0	0	0	1.044932079	0	0.104493208	0	0	0	0.052246604	0	0	0	0.052246604	0	0	0	0.052246604	0	0	0	28.10867294	0.052246604	1.253918495	34.95297806
4	1	4mile	3	19.14	rlfld	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.15882968	0	0	0	0	0	0	0	0	0	0	0	0	0.052246604	0	0	6.217345873	0	1.671891327	0	0	0	0	0	0	0	0	0	0	0	7.941483804	22.10031348
5	1	4mile	3	19.14	rlfld	11.2	0	0	0	0	1.044932079	0.156739812	15.98746082	0	0	0	0.417972832	2.978056426	0	0	0	0	0	0	0	0	0	9.665621735	0	0	0	0	0.052246604	0	0	0	0	1.253918495	0	0.052246604	0.26123302	0.104493208	0	12.17345873	0	0.679205852	0	0	0	0	0	0.052246604	0	0	0	20.58516196	0.052246604	14.5245559	44.87983281
6	1	4mile	3	19.14	rlfld	10.2	0	0	0	0	0.940438871	0.417972832	9.561128527	0	0	0	0.208986416	5.433646813	0	0	0	0	0	0	0	0	0	4.179728318	0	0	0	0	0.156739812	0	0	0	0	0	0	0	0.208986416	1.306165099	0	1.567398119	0	0	0	0	0	0	0	0.052246604	0.104	0	0	16.56217346	0.156739812	3.082549634	24.13793103
7	1	4mile	3	19.14	rlfld	6.2	0	0	0	0	0.26123302	0.313479624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052246604	0	0	0.104	0	0	0.365726228	0.052246604	0.208986416	0	53.34378265	0	14.10658307	0	0	0	0	0	0.104493208	0	0	0	0.574712644	0.052246604	68.18181818	68.91327064
8	1	4mile	3	19.14	rlfld	6.2	0	0	0	0	0.208986416	1.253918495	0	0	0	0	0	1.515151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.149425287	0	0.052246604	0	0.104	0	0	0.208986416	0.052246604	0.992685475	0.05225	2.821316614	0	6.008359457	0	0	0	0	0	0.313479624	0	0	0	2.978056426	1.201671891	10.24033438	14.73354232
9	1	4mile	3	19.14	rlfld	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052246604	0	0	0	0	0	0	0	0	0	0.313479624	0.104493208	1.044932079	0	0	0	0	0	0	0	0	0	0.26123302	0	0	0	0	0.052246604	1.462904911	1.776384535
10	1	4mile	3	19.14	rlfld	6.2	0	0	0	0	1.149425287	0.313479624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104493208	0	0	0	0	0	1.567398119	0.26123302	0.156739812	0	0	0	1.097178683	0	0	0	0	0	0.156739812	0	0	0	1.462904911	0.104493208	3.082549634	4.806687565
11	1	4mile	3	19.14	rlfld	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26123302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26123302	0.26123302
12	1	4mile	3	19.14	rlfld	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
