ID	Rivername	Easting	Northing	Altitude	Forested	Date	Date2	FieldpH	pH	Temperature	SDI
27	CloonRiver	117294	161990	45	2	29-Jan-03	74	7.06	7.24	4.8	48.75776398
28	GreyggroveRiver	114989	165877	73	1	29-Jan-03	74	6.47	6.45	5.3	73.52941176
29	RiverfromLoughAbullaunduff	115931	182021	75	2	29-Jan-03	74	7.79	6.92	5.8	67.06349206
30	InaghRiver	120904	181242	72	2	29-Jan-03	74	7.62	7.09	5.9	53.1835206
31	AffickRiver	147715	184192	89	2	29-Jan-03	74	7.42	6.98	5.8	57.92349727
32	CorraRiver	159527	189332	60	2	29-Jan-03	74	7.72	7.36	5.9	40.57476863
33	KilluranRiver	157561	176617	68	1	29-Jan-03	74	7.42	7.24	6	47.66839378
34	BroadfordRiver	157351	172758	48	2	29-Jan-03	74	7.42	7.37	6.7	32.69961977
35	RiverBlackwater(Clare)	158982	165623	49	2	29-Jan-03	74	7.47	7.34	6.2	36.65123457
36	ArdcloonyRiver	167071	170498	65	2	29-Jan-03	74	7.85	7.65	7	29.79223834
37	LeamlaraRiver	184260	76940	55	2	03-Feb-03	79	8.01	7.72	6	29.67032967
38	KilthaRiver	195962	76148	45	2	03-Feb-03	79	7.77	7.56	6.5	29.34472934
39	DissourRiver	198352	80612	45	2	03-Feb-03	79	7.19	7.17	6.5	35.8490566
40	RiverTourig	201561	81488	48	2	03-Feb-03	79	7.67	7.34	7.1	38.70967742
41	GlenaboyRiver	199320	93470	30	2	03-Feb-03	79	7.79	7.49	7.4	29.43037975
42	GlenshelaneRiver	211768	100165	61	1	03-Feb-03	79	7.81	7.49	5.7	40.8045977
43	OwenagearaghRiver	183420	89152	77	2	03-Feb-03	79	7.63	7.45	5.6	26.35869565
44	KnoppogeRiver	182631	89168	73	2	03-Feb-03	79	7.78	7.81	6.3	25.26595745
45	RiverFlesk	181879	89855	69	2	03-Feb-03	79	7.54	7.45	6	27.95698925
46	OwenacurraRiver	185360	80574	69	2	03-Feb-03	79	7.66	7.49	6.3	32.03883495
47	TuoughRiver	151406	62151	78	2	06-Feb-03	82	7.29	7.56	7.9	28.05194805
48	OwenkeaghRiver	140570	47594	50	2	06-Feb-03	82	7.33	7.37	8.1	31.81818182
49	ArgideenRiver	132306	45553	50	2	06-Feb-03	82	7.36	7.28	8.4	42.08494208
50	RiverBlackwater(Cork)	129074	58432	101	2	06-Feb-03	82	7.58	7.38	7.6	43.9688716
51	RouryRiver	124333	38661	50	2	06-Feb-03	82	7.64	7.39	8.7	44.61538462
52	SaivnoseRiver	115070	41773	50	2	06-Feb-03	82	7.56	7.36	8.8	42.14559387
53	RiverIlen	111440	46656	53	2	06-Feb-03	82	7.57	7.4	8.8	46.84210526
54	DurrusRiver	99511	43916	74	2	06-Feb-03	82	7.5	7.27	9.8	45.35315985
55	OwennashingaunRiver	106118	45611	68	2	06-Feb-03	82	7.59	7.37	8.9	49.33920705
56	BreweryRiver	119507	48930	67	1	06-Feb-03	82	7.3	7.07	7.1	48.45360825
57	AughnaglaurRiver	288028	131679	45	2	11-Feb-03	87	7.49	7.5	7.2	36.76975945
58	OwenduffRiver	278587	120413	45	2	11-Feb-03	87	7.55	7.53	6.8	34.10404624
59	ArrigleRiver	262181	130072	109	2	11-Feb-03	87	7.37	7.34	6.8	34.3220339
60	PollanasaRiver	255908	124174	109	2	11-Feb-03	87	7.96	7.94	8.3	23.76237624
61	RiverMahon	234229	106021	102	2	11-Feb-03	87	5.97	6.24	5.9	66.66666667
62	RiverTay	231988	103981	105	2	11-Feb-03	87	7.21	7	8.1	51.2605042
63	DalliganRiver	230390	97920	95	1	11-Feb-03	87	NA	6.93	7.1	55.17241379
64	ColliganRiver	221474	97258	44	2	11-Feb-03	87	7.5	7.48	6.8	36.12565445
65	FiniskRiver	217568	99281	50	2	11-Feb-03	87	7.63	7.52	7.3	29.76190476
66	BallymacartRiver	224652	83802	94	2	11-Feb-03	87	7.5	7.49	6.9	40.86687307
132	GlenlackBurn	200700	419100	83	1	11-Feb-03	87	6.4	7.15	6.2	40.13794214
133	Owentocker	180900	389200	101	2	11-Feb-03	87	7.03	6.27	5.7	67.53020677
134	Owenree	183600	388900	160	2	11-Feb-03	87	6.11	6.44	6	69.43456963
136	CronanivBurn	192899	418963	97	2	11-Feb-03	87	6.18	6.01	5.6	66.33495453
137	Gweebara	194839	413968	196	2	11-Feb-03	87	6.24	6.13	4.2	54.43510273
67	ToonRiver	122439	70404	120	1	12-Feb-03	88	6.99	7	2.6	44.60784314
68	SullaneRiver	116151	75878	119	2	12-Feb-03	88	6.86	6.82	2.9	55.78231293
69	OwengarveRiver	119021	77663	149	2	12-Feb-03	88	7.56	7.37	3.4	44.79166667
70	BoohillRiver	120003	78613	159	2	12-Feb-03	88	7.3	7.2	4	51.85185185
71	RoughtyRiver	106334	75448	152	2	12-Feb-03	88	6.93	6.87	6.1	64.81481481
72	FinowRiver	100835	87303	64	2	12-Feb-03	88	7.11	7.07	6.1	67.34693878
73	ClydaghRiver	108853	81532	72	1	12-Feb-03	88	7.37	7.18	5.2	59.84848485
74	FoherishRiver	128005	81413	186	2	12-Feb-03	88	7.12	6.99	6.2	50.31847134
75	FinnowRiver	126741	87630	185	2	12-Feb-03	88	7.34	7.23	6.8	38.7434555
76	AwboyRiver	134997	79134	144	2	12-Feb-03	88	7.45	7.2	5.8	40.625
146	Bonet	181894	347205	105	2	12-Feb-03	88	8.42	8.71	7	22.83969974
147	Glenaniff	186700	349900	192	2	12-Feb-03	88	8.22	8.45	4.7	31.48602166
77	ClydaRiver	156623	92412	93	2	13-Feb-03	89	7.53	7.53	3.9	30.1754386
78	RossRiver	164775	98154	88	1	13-Feb-03	89	7.92	7.73	4.6	31.04693141
79	GlashaboyRiver	168267	80485	86	2	13-Feb-03	89	7.75	7.52	4.6	27.40524781
80	RiverBride	171346	89484	86	1	13-Feb-03	89	7.35	7.4	4.8	36.11111111
81	ButlerstownRiver	176214	79162	62	2	13-Feb-03	89	7.7	7.63	6.5	28.27988338
148	Owenbeg	156983	323193	126	1	13-Feb-03	89	7.72	7.85	3	30.23653575
149	Owenbeg2a	154300	324300	156	1	13-Feb-03	89	7.45	7.53	2.4	46.70419613
150	Owenbeg2b	154100	325100	171	1	13-Feb-03	89	7.43	7.35	2.5	60.15869288
194	EaskyRiver	139475	327654	134	2	13-Feb-03	89	7.71	8.71	4.7	35.85288382
200	EaskyL.Inflow	144897	322297	237	2	13-Feb-03	89	7.24	7.22	3.4	59.17417478
151	Unshin1	175500	318700	87	2	14-Feb-03	90	7.94	8.23	4.2	16.98820161
152	Unshin2	176700	315700	90	2	14-Feb-03	90	NA	7.92	4	18.67087016
207	BallinafadStr.	177226	308034	69	2	14-Feb-03	90	7.95	8	4	27.86964857
82	GaddaghRiver	83106	89136	75	2	17-Feb-03	93	7.03	7.24	5.9	47.24409449
83	CottenersRiver	76862	89086	83	2	17-Feb-03	93	6.21	6.64	4.8	63.73626374
84	CaraghRiver	69752	81797	114	2	17-Feb-03	93	7.42	7.17	5.6	65.18518519
85	RiverInny	62687	76903	65	1	17-Feb-03	93	6.72	6.67	6.3	70.99236641
86	CummeraghRiver	56044	70023	74	2	17-Feb-03	93	6.76	6.62	6.3	74.25742574
87	SneemRiver	67329	68720	42	2	17-Feb-03	93	6.89	6.91	6.4	69.53125
88	OwenreaghRiver	84018	78597	133	2	17-Feb-03	93	6.62	6.68	5.6	63.02521008
89	RiverSheen	95172	65044	56	2	17-Feb-03	93	7.11	7.08	6.3	64.22764228
90	GlengariffRiver	91806	56850	48	2	17-Feb-03	93	6.7	6.74	6.3	68.88888889
91	RiverOwvane	108859	59041	94	2	17-Feb-03	93	7.16	7.05	6	48.80952381
154	Swanlibar	214903	324876	194	2	17-Feb-03	93	NA	7.51	NA	36.19148212
193	ClooneRiver	216604	301868	123	2	17-Feb-03	93	7.8	7.88	4	19.04660265
195	StoneyRiver	198612	318434	60	2	17-Feb-03	93	6.42	6.94	2.2	25.33332864
197	YellowRiver(Cavan)	202901	322286	160	2	17-Feb-03	93	6.18	7.66	1.9	54.95117501
198	Owenmore(Cavan)	206201	326922	122	2	17-Feb-03	93	8.19	7.93	3	18.83584872
199	DiffagherRiver	191178	327236	72	2	17-Feb-03	93	6.92	7.06	3.1	49.77891788
92	OgenRiver	162917	108762	75	1	18-Feb-03	94	7.66	7.96	5.3	23.41597796
93	MorningstarRiver	166507	132389	88	2	18-Feb-03	94	8.42	8.43	3.6	13.55932203
94	ClareRiver	173000	159894	70	1	18-Feb-03	94	8.04	7.91	3.7	28.23529412
95	RiverBilboa	177457	151358	63	2	18-Feb-03	94	7.97	8.1	4.6	22.76923077
96	CahernahalliaRiver	182750	148273	65	2	18-Feb-03	94	8.26	8.28	4.8	20.66115702
153	Owengarve	155100	303900	71	2	18-Feb-03	94	8.24	8.04	3	21.62920058
155	Owenmore(Mayo)	134900	320100	73	1	18-Feb-03	94	8.53	8.33	4.1	21.32457744
160	Glenamoy	96902	334272	57	2	18-Feb-03	94	7.51	7.56	3.1	45.50677777
161	Glencullin(Mayo)	107738	336794	75	1	18-Feb-03	94	8.24	7.8	3.6	46.42468112
162	Glencullin(W.Mayo)	89937	326314	80	2	18-Feb-03	94	8.19	8.04	3.1	42.64065208
196	FeorishRiver	183500	316536	87	2	18-Feb-03	94	7.99	7.96	3.8	13.95710285
202	BarDeela	99156	312525	92	2	18-Feb-03	94	7.37	7.03	4	61.92379499
203	Glenglassera	102208	340043	74	1	18-Feb-03	94	8.07	7.72	3.1	56.45171525
204	GlenulraRiver	106652	339502	70	2	18-Feb-03	94	7.95	7.91	3.7	33.05921425
205	HeathfieldStr.	113265	335618	58	2	18-Feb-03	94	7.7	7.78	5.2	16.33019875
206	FlanaganStr.	180070	308921	79	2	18-Feb-03	94	8	8.08	7.1	23.55222539
217	KeerglenRiver	109386	333317	55	2	18-Feb-03	94	8.16	8.02	3.6	39.9814204
97	SmearlaghRiver	98127	123159	107	2	19-Feb-03	95	7.11	7.17	4	65.40084388
98	GaleyRiver	112600	135076	65	2	19-Feb-03	95	7.41	7.51	3.8	51.43884892
99	OolaghRiver	115080	130910	133	1	19-Feb-03	95	7.51	7.53	4.1	57.82608696
100	WhiteRiver	119468	146155	77	2	19-Feb-03	95	8.27	8.25	4.1	30.33268102
101	AllaughanRiver	122141	124700	140	2	19-Feb-03	95	7.58	7.66	4.7	54.67980296
102	RiverDuala	129092	110662	183	2	19-Feb-03	95	7.82	7.85	5	34.41558442
103	ClydahRiver	112035	114591	190	1	19-Feb-03	95	7.45	7.6	5.7	68.96551724
