Abun	Site	Month	Year	Week	WeekTime	Timeofday	Winddir	Windspeed	Weather
232	1	4	2003	16	2003.288462	12	4	2	3
235	1	5	2003	22	2003.403846	10	6	2	3
191	1	6	2003	24	2003.442308	10	6	2	3
207	1	6	2003	25	2003.461538	16	7	4	3
236	1	6	2003	26	2003.480769	10	8	4	2
155	1	7	2003	27	2003.5	15	8	2	3
242	1	7	2003	29	2003.538462	14	8	4	2
195	1	7	2003	30	2003.557692	18	7	4	1
196	1	8	2003	32	2003.596154	17	8	2	3
236	1	8	2003	33	2003.615385	13	6	1	3
229	1	8	2003	34	2003.634615	17	6	5	2
269	1	8	2003	35	2003.653846	11	2	4	3
341	1	9	2003	36	2003.673077	15	8	2	3
319	1	9	2003	37	2003.692308	11	8	4	2
278	1	9	2003	38	2003.711538	15	5	2	3
183	1	9	2003	39	2003.730769	11	6	3	2
230	1	10	2003	40	2003.75	16	2	3	3
242	1	10	2003	41	2003.769231	10	7	5	3
145	1	10	2003	42	2003.788462	13	4	4	1
87	1	10	2003	43	2003.807692	9	2	4	3
148	1	10	2003	43	2003.807692	14	8	2	3
66	1	11	2003	48	2003.903846	14	7	4	1
68	1	12	2003	50	2003.942308	12	2	4	2
61	1	1	2004	4	2004.057692	11	6	1	3
34	1	2	2004	9	2004.153846	17	4	3	3
139	1	3	2004	13	2004.230769	14	8	2	2
171	1	5	2004	20	2004.365385	16	8	3	2
217	1	5	2004	21	2004.384615	13	2	4	3
222	1	6	2004	22	2004.403846	11	8	4	3
143	1	6	2004	24	2004.442308	9	7	3	2
163	1	7	2004	28	2004.519231	15	5	3	1
250	1	7	2004	29	2004.538462	12	6	4	3
208	1	7	2004	31	2004.576923	10	6	2	3
260	1	8	2004	33	2004.615385	11	8	4	2
270	1	8	2004	35	2004.653846	10	7	3	3
315	1	9	2004	37	2004.692308	18	3	2	3
203	1	9	2004	39	2004.730769	9	1	2	3
33	1	10	2004	41	2004.769231	9	3	4	3
211	1	10	2004	44	2004.826923	14	2	4	3
109	1	11	2004	49	2004.923077	12	6	2	2
87	1	1	2005	6	2005.096154	16	2	2	3
142	1	3	2005	10	2005.173077	14	1	3	3
140	1	4	2005	17	2005.307692	11	4	3	3
220	1	5	2005	20	2005.365385	14	2	3	3
163	1	6	2005	24	2005.442308	13	4	4	2
218	1	6	2005	27	2005.5	15	1	2	3
224	1	7	2005	28	2005.519231	13	7	3	2
252	1	8	2005	33	2005.615385	15	8	3	3
272	1	9	2005	37	2005.692308	12	6	4	1
275	1	9	2005	38	2005.711538	13	7	2	3
205	1	10	2005	43	2005.807692	14	7	2	3
159	2	4	2003	16	2003.288462	11	4	3	3
167	2	5	2003	22	2003.403846	12	3	2	3
152	2	6	2003	24	2003.442308	11	1	0	3
123	2	6	2003	25	2003.461538	16	4	2	2
142	2	7	2003	27	2003.5	15	1	4	2
129	2	7	2003	29	2003.538462	13	8	4	1
131	2	7	2003	30	2003.557692	8	7	3	2
178	2	8	2003	32	2003.596154	17	7	3	3
185	2	8	2003	33	2003.615385	14	6	2	3
173	2	8	2003	34	2003.634615	15	6	4	2
214	2	8	2003	35	2003.653846	10	3	4	1
222	2	9	2003	37	2003.692308	11	6	4	3
200	2	9	2003	38	2003.711538	15	6	4	1
217	2	10	2003	40	2003.75	16	2	1	3
151	2	10	2003	42	2003.788462	13	6	3	3
178	2	10	2003	43	2003.807692	11	8	3	3
111	2	11	2003	48	2003.903846	14	7	5	1
72	2	12	2003	50	2003.942308	12	6	4	2
93	2	1	2003	4	2003.057692	12	8	4	1
83	2	2	2004	8	2004.134615	12	2	3	3
188	2	3	2004	13	2004.230769	14	1	1	3
201	2	5	2004	20	2004.365385	16	8	4	2
243	2	6	2004	23	2004.423077	11	8	3	3
78	2	6	2004	24	2004.442308	18	7	3	2
181	2	6	2004	26	2004.480769	13	8	2	2
214	2	7	2004	27	2004.5	12	6	4	1
194	2	7	2004	29	2004.538462	12	7	3	3
197	2	7	2004	31	2004.576923	11	6	2	3
181	2	8	2004	33	2004.615385	18	6	4	3
272	2	8	2004	34	2004.634615	15	5	4	2
234	2	8	2004	35	2004.653846	11	7	4	3
194	2	9	2004	37	2004.692308	16	3	4	3
246	2	9	2004	38	2004.711538	13	6	4	2
212	2	9	2004	39	2004.730769	17	8	4	3
102	2	10	2004	42	2004.788462	11	3	2	2
191	2	10	2004	44	2004.826923	11	2	1	3
127	2	11	2004	49	2004.923077	13	5	2	2
85	2	12	2004	50	2004.942308	10	8	2	3
79	2	1	2005	5	2005.076923	15	2	2	3
119	2	2	2005	9	2005.153846	13	2	3	3
174	2	3	2005	14	2005.25	14	2	3	3
215	2	5	2005	20	2005.365385	13	2	3	3
200	2	6	2005	24	2005.442308	13	4	2	3
197	2	7	2005	29	2005.538462	15	7	3	3
228	2	8	2005	33	2005.615385	13	6	4	2
259	2	9	2005	37	2005.692308	14	6	3	3
65	2	9	2005	38	2005.711538	13	4	5	2
