ID	Road	Month	Season	N_days	Species	Road_Loc	Size_cm	PDayRain	Tot_Rain	Temp_avg
2176	EN114	Jul	Summer	4	Coluberhippocrepis	L	115	0.75	15	24.6
2448	EN114	Aug	Summer	1	Elaphescalaris	L	150	0	0	27.4
2917	EN114	Oct	Autumn	4	Elaphescalaris	L	150	1	40.2	19.1
2927	EN114	Oct	Autumn	2	Elaphescalaris	L	150	1	35.6	17.8
2845	EN114	Oct	Autumn	1	Elaphescalaris	L	150	0	0	22.3
2849	EN114	Oct	Autumn	1	Elaphescalaris	L	150	0	0	22.3
2860	EN114	Oct	Autumn	2	Elaphescalaris	L	150	0	0	19.7
2760	EN114	Sep	Autumn	1	Elaphescalaris	L	150	0	0	19.9
2758	EN114	Sep	Autumn	2	Elaphescalaris	L	150	0	0	19.4
2764	EN114	Sep	Autumn	2	Elaphescalaris	L	150	0	0	19.4
2561	EN114	Sep	Summer	1	Macroprotodoncucullatus	L	45	0	0	24.8
2475	EN114	Aug	Summer	1	Malpolonmonspessulanus	L	170	0	0	21.8
1648	EN114	Jun	Spring	1	Malpolonmonspessulanus	L	170	0	0	24
1179	EN114	May	Spring	1	Malpolonmonspessulanus	L	170	0	0	22.1
1180	EN114	May	Spring	1	Malpolonmonspessulanus	L	170	0	0	22.1
1420	EN114	May	Spring	5	Malpolonmonspessulanus	L	170	0.2	16.5	19.34
1386	EN114	May	Spring	1	Malpolonmonspessulanus	L	170	0	0	17.8
2878	EN114	Oct	Autumn	3	Malpolonmonspessulanus	L	170	0	0	20.97
1577	EN370_EN114_4	Jun	Spring	2	Coluberhippocrepis	L	115	0.5	0.1	28.4
2780	EN370_EN114_4	Sep	Autumn	1	Coluberhippocrepis	L	115	0	0	21.7
2754	EN370_EN114_4	Sep	Autumn	1	Coluberhippocrepis	L	115	0	0	19.9
2733	EN370_EN114_4	Sep	Autumn	2	Coluberhippocrepis	L	115	0	0	21.35
1107	EN370_EN114_4	Apr	Spring	1	Elaphescalaris	L	150	0	0	20.2
950	EN370_EN114_4	Apr	Spring	2	Elaphescalaris	L	150	0.5	0.5	11.85
2358	EN370_EN114_4	Aug	Summer	1	Elaphescalaris	L	150	0	0	30.2
2163	EN370_EN114_4	Jul	Summer	1	Elaphescalaris	L	150	0	0	22.6
2184	EN370_EN114_4	Jul	Summer	1	Elaphescalaris	L	150	1	0.5	21.7
1888	EN370_EN114_4	Jun	Spring	1	Elaphescalaris	L	150	0	0	28
1847	EN370_EN114_4	Jun	Spring	1	Elaphescalaris	L	150	0	0	26.5
1772	EN370_EN114_4	Jun	Spring	1	Elaphescalaris	L	150	0	0	22.7
1365	EN370_EN114_4	May	Spring	1	Elaphescalaris	L	150	0	0	19.9
1166	EN370_EN114_4	May	Spring	1	Elaphescalaris	L	150	0	0	20.8
1381	EN370_EN114_4	May	Spring	1	Elaphescalaris	L	150	0	0	17.8
