Specimen	YEAR	MONTH	DML	Testisweight
1017	1991	2	136	0.006
1034	1990	9	144	0.008
1070	1990	12	108	0.008
1070	1990	11	130	0.011
1019	1990	8	121	0.012
1002	1990	10	117	0.012
1001	1991	5	133	0.013
1013	1990	7	105	0.015
1002	1990	7	109	0.017
1006	1990	7	97	0.017
1020	1990	9	144	0.022
1002	1991	6	141	0.023
1039	1990	9	125	0.024
1038	1990	9	140	0.026
1012	1989	12	128	0.027
1037	1990	9	142	0.036
1001	1991	6	139	0.036
1027	1990	7	145	0.043
1003	1990	7	181	0.05
1026	1990	9	163	0.05
1015	1991	5	179	0.053
1050	1990	8	161	0.061
1029	1990	9	190	0.066
1012	1990	9	165	0.069
1014	1991	6	179	0.077
1009	1991	6	171	0.078
1007	1990	7	193	0.084
1030	1991	9	135	0.084
1006	1991	6	157	0.085
1007	1991	6	165	0.086
1007	1991	5	175	0.088
1055	1991	6	184	0.095
1001	1991	9	140	0.102
1010	1991	4	179	0.113
1017	1991	4	214	0.114
1019	1991	10	127	0.129
1020	1990	8	169	0.13
1156	1990	7	155	0.136
1112	1990	7	164	0.14
1013	1991	1	203	0.152
1010	1991	6	176	0.154
1015	1991	6	204	0.156
1041	1991	9	148	0.16
1019	1990	9	190	0.161
1052	1990	7	208	0.165
1031	1990	7	195	0.166
1028	1990	7	195	0.174
1028	1990	7	147	0.181
1016	1991	6	202	0.187
1017	1991	6	191	0.195
1008	1990	8	218	0.206
1028	1990	9	189	0.21
1014	1990	11	159	0.21
1005	1991	6	153	0.21
1011	1991	6	182	0.214
1018	1990	8	250	0.221
1015	1990	8	185	0.224
1022	1991	6	209	0.225
1050	1990	7	226	0.226
1015	1990	10	174	0.227
1013	1991	6	175	0.237
1024	1991	6	212	0.243
1023	1991	10	165	0.246
1019	1991	10	194	0.248
1125	1990	7	208	0.249
1042	1990	7	248	0.254
1058	1990	8	238	0.255
1021	1991	6	204	0.256
1117	1990	7	241	0.27
1026	1991	6	229	0.281
1047	1990	8	235	0.283
1009	1990	8	244	0.285
1158	1990	7	205	0.286
1005	1990	8	246	0.288
1057	1991	6	201	0.29
1007	1990	9	165	0.297
1046	1990	8	195	0.298
1029	1991	10	136	0.301
1009	1990	9	173	0.302
1051	1990	7	225	0.309
1029	1991	6	234	0.31
1001	1990	10	231	0.315
1008	1991	10	134	0.315
1034	1990	8	246	0.33
1021	1990	9	180	0.33
1048	1990	7	214	0.337
1010	1990	8	199	0.344
1004	1990	8	219	0.37
1046	1990	7	247	0.373
1007	1990	9	165	0.379
1026	1991	10	170	0.379
1016	1991	10	188	0.379
1049	1990	8	217	0.385
1020	1991	10	187	0.385
1052	1990	9	225	0.388
1010	1991	10	191	0.395
1049	1990	7	211	0.412
1023	1991	10	170	0.414
1033	1990	8	251	0.418
1073	1990	11	190	0.426
1046	1991	9	200	0.426
1081	1990	7	226	0.43
1005	1990	9	196	0.43
1029	1991	10	267	0.434
1050	1991	9	207	0.442
1038	1990	8	270	0.443
1052	1991	9	210	0.444
1060	1990	8	249	0.445
1017	1990	7	232	0.453
1025	1990	8	252	0.455
1032	1991	6	242	0.467
1010	1990	8	258	0.472
1003	1990	9	185	0.482
1114	1990	7	146	0.497
1012	1990	10	160	0.501
1035	1990	8	265	0.503
1055	1990	9	250	0.508
1021	1991	10	247	0.514
1049	1991	9	225	0.517
1008	1991	7	246	0.525
1021	1991	10	163	0.531
1015	1990	12	151	0.533
1013	1991	10	107	0.538
1035	1990	7	151	0.551
1044	1990	8	253	0.556
1057	1990	8	230	0.558
1019	1990	10	185	0.566
1012	1991	10	229	0.566
1009	1990	8	257	0.586
1002	1990	8	250	0.594
1022	1990	8	212	0.603
1033	1991	6	262	0.603
1054	1990	8	240	0.606
1001	1991	10	167	0.611
1029	1990	7	152	0.618
1028	1990	8	266	0.627
1021	1990	8	266	0.632
1005	1990	8	258	0.634
1032	1990	8	261	0.638
1063	1990	9	232	0.645
1056	1990	8	265	0.646
1042	1991	9	133	0.654
1003	1990	8	235	0.663
1012	1990	10	175	0.69
1065	1990	9	273	0.704
1037	1991	9	233	0.705
1017	1990	8	238	0.707
1052	1990	11	130	0.726
1025	1991	10	175	0.737
1055	1990	8	287	0.745
1029	1990	9	140	0.758
1028	1991	10	138	0.777
1024	1991	10	166	0.782
1028	1990	9	204	0.785
1013	1990	10	175	0.786
1023	1991	10	273	0.801
1022	1990	9	190	0.812
1002	1990	8	220	0.824
1021	1991	10	160	0.828
1018	1990	8	270	0.835
1039	1990	8	268	0.85
1047	1990	7	245	0.862
1017	1990	8	250	0.875
1016	1990	12	198	0.963
1015	1991	10	279	0.983
1020	1990	11	186	1.006
1009	1990	9	279	1.041
1041	1990	9	265	1.051
1019	1991	6	225	1.072
1010	1991	10	120	1.072
1015	1991	10	120	1.077
1104	1990	7	261	1.117
1007	1991	9	244	1.13
1030	1991	10	136	1.133
1012	1991	4	173	1.159
1031	1991	6	254	1.164
1021	1991	2	138	1.173
1016	1991	10	127	1.175
1024	1990	11	214	1.194
1016	1990	8	261	1.196
1003	1990	10	296	1.213
1004	1990	8	272	1.218
1010	1990	9	219	1.218
1035	1990	9	291	1.241
1035	1991	4	390	1.247
1009	1990	10	210	1.275
1014	1991	10	122	1.318
1018	1990	10	208	1.322
1013	1990	8	303	1.331
1010	1991	5	180	1.386
1069	1990	11	169	1.412
